BatteryTemp,BatteryVoltage,FuelLevel,CPUUsage,SignalStrength,Health
35,28.2,85,35,92,Healthy
36,28.1,82,40,90,Healthy
38,27.9,80,45,88,Healthy
42,27.5,70,60,75,Warning
45,27.2,65,70,68,Warning
48,26.8,55,75,60,Warning
50,26.5,45,80,55,Warning
52,25.9,35,88,45,Critical
55,25.6,30,92,40,Critical
58,25.2,25,95,35,Critical
60,24.8,20,98,30,Critical
62,24.5,15,99,25,Critical
40,27.8,78,50,85,Healthy
44,27.4,60,65,70,Warning
56,25.5,28,94,38,Critical
37,28.0,81,42,89,Healthy
49,26.7,50,78,58,Warning
61,24.7,18,97,28,Critical
